date,stock_immediate_equity,stock_pullback_equity,etf_dca_equity,etf_buy_hold_norm
2022-05-15,469208.55629706004,498631.52057496016,416357.31745751004,0.7568627450980392
2022-05-16,467024.3862970601,495087.74057496013,410964.21745751,0.7470588235294117
2022-05-17,468146.70629706,491673.1905749602,408087.89745751,0.741830065359477
2022-05-18,468548.43629705993,491961.9405749602,407368.81745751004,0.7405228758169934
2022-05-23,462449.57629706,475939.7205749601,408087.89745751,0.741830065359477
2022-05-24,456977.56629706005,463140.4707460302,410245.13745751005,0.7457516339869281
2022-05-26,426723.49629706005,414372.8207460302,400178.01745751005,0.7274509803921568
2022-05-29,426769.34629706,425996.8507460301,398739.85745751,0.7248366013071895
2022-05-30,426970.2762970601,427726.6707460303,394425.37745751004,0.7169934640522876
2022-05-31,424508.23629706004,430526.2907460302,395144.45745751006,0.7183006535947712
2022-06-01,432229.9615201101,435141.9631829902,406200.14828183,0.7209150326797384
2022-06-05,433015.2215201101,435990.4231829901,400676.24828183005,0.7111111111111111
2022-06-06,431878.5215201101,436823.2831829902,399571.46828183,0.7091503267973855
2022-06-07,437627.1015201101,451872.58318299014,399939.72828183003,0.7098039215686274
2022-06-08,451150.8515201101,464335.17318299017,402149.28828183,0.7137254901960783
2022-06-09,451332.28152011015,466050.2231829902,409514.48828183004,0.7267973856209149
2022-06-12,445509.8315201101,461349.2631829902,409514.48828183004,0.7267973856209149
2022-06-13,440985.0915201101,450390.8731829901,403990.5882818301,0.7169934640522876
2022-06-14,441064.05152011017,453821.1831829901,401044.50828183006,0.711764705882353
2022-06-15,436719.88152011,450637.59318299015,399571.46828183,0.7091503267973855
2022-06-16,434657.0015201101,452100.64318299014,399203.20828183,0.7084967320261437
2022-06-19,431377.51152011007,451633.5631829902,395152.3482818301,0.7013071895424836
2022-06-20,429956.7615201101,448643.1931829902,389628.44828183006,0.6915032679738562
2022-06-21,426645.5515201101,440594.65318299027,387787.14828183,0.688235294117647
2022-06-22,427474.87152011006,444354.6531829902,388523.6682818301,0.6895424836601307
2022-06-23,424293.7915201101,445004.7231829902,385209.32828183006,0.6836601307189543
2022-06-26,424203.13152011007,448412.68318299024,378212.38828183,0.6712418300653594
2022-06-29,414015.93152011005,426407.19318299013,368269.36828183004,0.6535947712418301
2022-07-03,413555.8174154401,419731.51252271014,379658.2208068301,0.6568627450980392
2022-07-04,404556.94741544005,409878.87252271024,370591.98080683005,0.6411764705882353
2022-07-05,404105.13741544005,405835.89252271014,357748.1408068301,0.6189542483660131
2022-07-06,408091.08741544,422908.10252271016,356992.62080683,0.6176470588235293
2022-07-07,412228.9174154401,424857.4925227102,357370.3808068301,0.6183006535947713
2022-07-17,409457.3474154401,416684.1425227102,361147.98080683005,0.6248366013071895
