symbol,date,factor_date,sector,factor_score,score_momentum,score_value,score_quality,score_growth,score_low_risk,score_liquidity,has_fundamentals,fundamental_filing_date,fundamental_row_age_days
HRHO,2016-08-01,2016-08-02,financials,0.5970833333333334,0.7500000000000001,0.5,0.5,0.6375000000000001,0.20833333333333334,0.875,False,,
HRHO,2016-08-31,2016-09-01,financials,0.6616798941798943,0.9682539682539684,0.5,0.5,0.675,0.14814814814814817,0.8888888888888888,False,,
HRHO,2016-09-29,2016-10-03,financials,0.6255952380952382,0.8214285714285716,0.5,0.5,0.6250000000000001,0.2916666666666667,0.875,False,,
HRHO,2016-11-01,2016-11-02,financials,0.6545748299319728,0.8775510204081634,0.5,0.5,0.675,0.38095238095238093,0.8571428571428571,False,,
HRHO,2016-11-30,2016-12-01,financials,0.6892687074829932,0.9693877551020409,0.5,0.5,0.675,0.30952380952380953,1.0,False,,
HRHO,2016-12-29,2017-01-02,financials,0.6521984126984127,0.8571428571428572,0.5,0.5,0.6616666666666667,0.2888888888888889,1.0,False,,
HRHO,2017-02-06,2017-02-07,financials,0.6824206349206351,0.9904761904761907,0.5,0.5,0.675,0.24444444444444446,0.9333333333333333,False,,
HRHO,2017-02-28,2017-03-01,financials,0.6760714285714287,0.9579831932773111,0.5,0.5,0.6514705882352942,0.23529411764705882,1.0,False,,
HRHO,2017-04-04,2017-04-05,financials,0.6352857142857143,0.8142857142857144,0.5,0.5,0.6100000000000001,0.35000000000000003,0.95,False,,
HRHO,2017-04-30,2017-05-02,financials,0.6131878306878308,0.7380952380952382,0.5,0.5,0.5472222222222223,0.3703703703703704,1.0,False,,
HRHO,2017-05-31,2017-06-01,financials,0.5506829573934837,0.5714285714285715,0.5,0.5,0.511842105263158,0.2807017543859649,1.0,False,,
HRHO,2017-07-06,2017-07-09,financials,0.5387037037037037,0.5555555555555557,0.5,0.5,0.46111111111111114,0.2592592592592593,1.0,False,,
HRHO,2017-11-08,2017-11-09,financials,0.3774498746867168,0.06766917293233084,0.5,0.5,0.34342105263157896,0.2807017543859649,0.9473684210526315,False,,
HRHO,2017-11-29,2017-12-03,financials,0.41098809523809526,0.17857142857142858,0.5,0.5,0.35750000000000004,0.36666666666666675,0.85,False,,
HRHO,2017-12-31,2018-01-02,financials,0.42314814814814816,0.22222222222222224,0.5,0.5,0.36111111111111116,0.3703703703703704,0.8333333333333334,False,,
HRHO,2018-04-10,2018-04-11,financials,0.4624585921325052,0.2732919254658385,0.5,0.5,0.4423913043478261,0.4492753623188406,0.9130434782608695,False,,
HRHO,2018-04-30,2018-05-02,financials,0.4592598343685301,0.298136645962733,0.5,0.5,0.42282608695652174,0.4057971014492754,0.8695652173913043,False,,
HRHO,2018-06-13,2018-06-14,financials,0.42232804232804233,0.1904761904761905,0.5,0.5,0.35555555555555557,0.40740740740740744,0.8888888888888888,False,,
HRHO,2019-04-16,2019-04-17,financials,0.445412087912088,0.3186813186813187,0.5,0.5,0.42115384615384616,0.46153846153846156,0.6153846153846154,False,,
HRHO,2019-07-08,2019-07-09,financials,0.503430735930736,0.4025974025974027,0.5,0.5,0.4931818181818182,0.696969696969697,0.6363636363636364,False,,
HRHO,2019-08-20,2019-08-21,financials,0.5330952380952382,0.4880952380952382,0.5,0.5,0.5333333333333333,0.5833333333333334,0.75,False,,
HRHO,2019-09-01,2019-09-02,financials,0.5766005291005292,0.6031746031746033,0.5,0.5,0.5861111111111112,0.5925925925925927,0.7777777777777778,False,,
HRHO,2019-10-23,2019-10-24,financials,0.6925000000000001,1.0000000000000002,0.5,0.5,0.675,0.5000000000000001,0.75,False,,
HRHO,2019-10-31,2019-11-03,financials,0.6643154761904762,0.8928571428571429,0.5,0.5,0.6312500000000001,0.5833333333333334,0.75,False,,
HRHO,2021-08-31,2021-09-01,financials,0.6667996289424862,0.2653061224489796,0.9,0.925,0.5077922077922079,0.7857142857142858,0.9285714285714286,True,2021-08-29,2.0
HRHO,2021-09-30,2021-10-03,financials,0.6246825396825397,0.15584415584415587,0.9,0.925,0.4929292929292929,0.8181818181818183,0.8181818181818182,True,2021-08-29,32.0
HRHO,2021-10-31,2021-11-01,financials,0.6698531746031747,0.28571428571428575,0.9,0.925,0.5525000000000001,0.8055555555555557,0.8333333333333334,True,2021-08-29,63.0
HRHO,2021-11-30,2021-12-01,financials,0.7004591836734694,0.39795918367346944,0.9,0.925,0.3988095238095239,0.761904761904762,1.0,True,2021-11-29,1.0
HRHO,2021-12-30,2022-01-02,financials,0.7957282913165266,0.6638655462184875,0.9,0.925,0.5705882352941177,0.7450980392156864,1.0,True,2021-11-29,31.0
HRHO,2022-01-31,2022-02-01,financials,0.7466172161172162,0.6263736263736264,0.9,0.925,0.5011538461538463,0.6666666666666667,0.7692307692307693,True,2021-11-29,63.0
HRHO,2022-02-28,2022-03-01,financials,0.6642063492063492,0.4603174603174603,0.9,0.7,0.5055555555555556,0.6666666666666667,0.8888888888888888,True,2021-11-29,91.0
HRHO,2022-03-31,2022-04-03,financials,0.7882287157287158,0.8571428571428573,0.9,0.7,0.6866161616161617,0.5151515151515151,0.9090909090909091,True,2022-03-31,0.0
HRHO,2022-04-28,2022-05-08,financials,0.8090728715728716,0.9220779220779222,0.9,0.7,0.7002525252525253,0.4242424242424242,1.0,True,2022-03-31,28.0
HRHO,2022-08-31,2022-09-01,financials,0.6801428571428573,0.5571428571428573,0.9,0.7,0.43000000000000005,0.5000000000000001,1.0,True,2022-08-29,2.0
HRHO,2022-10-31,2022-11-01,financials,0.6685952380952381,0.5214285714285715,0.675,0.925,0.4050000000000001,0.5666666666666669,0.95,True,2022-08-29,63.0
HRHO,2022-11-30,2022-12-01,financials,0.6489404761904762,0.4428571428571429,0.675,0.925,0.3775000000000001,0.6333333333333334,0.95,True,2022-11-29,1.0
HRHO,2022-12-29,2023-01-02,financials,0.6970861678004535,0.564625850340136,0.675,0.925,0.47380952380952385,0.6507936507936508,0.9523809523809523,True,2022-11-29,30.0
HRHO,2023-01-31,2023-02-01,financials,0.6642546583850933,0.5279503105590063,0.675,0.925,0.4239130434782609,0.4782608695652174,0.9565217391304348,True,2022-11-29,63.0
HRHO,2023-02-28,2023-03-01,financials,0.5680735930735932,0.25974025974025977,0.675,0.925,0.3681818181818182,0.4242424242424243,0.9090909090909091,True,2022-11-29,91.0
HRHO,2023-03-30,2023-04-02,financials,0.6690476190476191,0.512987012987013,0.675,0.925,0.6636363636363637,0.37878787878787884,0.9090909090909091,True,2023-03-01,29.0
HRHO,2023-04-30,2023-05-01,financials,0.5953084415584415,0.35064935064935066,0.675,0.925,0.42840909090909096,0.31818181818181823,0.9545454545454546,True,2023-03-31,30.0
HRHO,2023-05-31,2023-06-01,financials,0.6126623376623378,0.3376623376623377,0.675,0.925,0.55,0.40909090909090917,0.9545454545454546,True,2023-05-30,1.0
HRHO,2023-06-26,2023-07-04,financials,0.61975,0.35000000000000003,0.675,0.925,0.4975,0.5000000000000001,0.95,True,2023-05-30,27.0
HRHO,2023-07-31,2023-08-01,financials,0.5900974025974027,0.31168831168831174,0.6,0.925,0.5522727272727274,0.45454545454545464,0.9090909090909091,True,2023-05-30,62.0
HRHO,2023-08-31,2023-09-03,financials,0.558702380952381,0.2642857142857143,0.75,0.7749999999999999,0.32750000000000007,0.5166666666666667,0.9,True,2023-08-29,2.0
HRHO,2023-10-31,2023-11-01,financials,0.5745691609977325,0.22448979591836735,0.9,0.7,0.3642857142857143,0.6507936507936509,0.8571428571428571,True,2023-08-29,63.0
HRHO,2023-11-30,2023-12-03,financials,0.4829503105590063,0.26708074534161497,0.5666666666666667,0.5583333333333333,0.2565217391304348,0.6086956521739131,0.9130434782608695,True,2023-11-29,1.0
HRHO,2023-12-31,2024-01-02,financials,0.5094331065759639,0.3129251700680272,0.5666666666666667,0.5583333333333333,0.2547619047619048,0.746031746031746,0.9047619047619048,True,2023-11-29,32.0
HRHO,2024-01-31,2024-02-01,financials,0.46132653061224493,0.14965986394557823,0.5666666666666667,0.5583333333333333,0.20000000000000004,0.8095238095238096,0.9047619047619048,True,2023-11-29,63.0
HRHO,2024-02-29,2024-03-03,financials,0.5167965367965369,0.32467532467532473,0.5,0.55,0.3818181818181819,0.7575757575757577,0.9545454545454546,True,2024-02-29,0.0
HRHO,2024-03-31,2024-04-01,financials,0.6005102040816328,0.20408163265306123,0.9,0.925,0.24285714285714285,0.6428571428571429,0.8571428571428571,True,2024-03-30,1.0
HRHO,2024-06-27,2024-07-01,financials,0.5718027210884353,0.10204081632653061,0.9,0.925,0.2142857142857143,0.761904761904762,0.7857142857142857,True,2024-05-30,28.0
HRHO,2024-07-31,2024-08-01,financials,0.6453061224489798,0.33673469387755106,0.9,0.925,0.29285714285714287,0.642857142857143,0.8571428571428571,True,2024-05-30,62.0
HRHO,2024-08-29,2024-09-01,financials,0.5524229691876751,0.36134453781512604,0.725,0.55,0.4588235294117647,0.5490196078431374,0.8823529411764706,True,2024-08-29,0.0
HRHO,2024-09-30,2024-10-01,financials,0.6189550264550264,0.5634920634920635,0.725,0.55,0.48611111111111116,0.5740740740740741,0.8888888888888888,True,2024-08-29,32.0
HRHO,2024-10-31,2024-11-03,financials,0.7536904761904764,0.6428571428571429,0.9,0.925,0.4821428571428572,0.6190476190476191,0.8571428571428571,True,2024-08-29,63.0
HRHO,2024-11-28,2024-12-01,financials,0.671923076923077,0.3846153846153847,0.9,0.925,0.37692307692307697,0.6153846153846154,0.9230769230769231,True,2024-08-29,91.0
HRHO,2024-12-31,2025-01-02,financials,0.6228968253968254,0.21428571428571433,0.9,0.925,0.24166666666666672,0.6944444444444446,1.0,True,2024-11-29,32.0
HRHO,2025-01-30,2025-02-02,financials,0.5055882352941177,0.35294117647058826,0.5,0.6,0.26764705882352946,0.5294117647058825,1.0,True,2024-11-29,62.0
HRHO,2025-02-27,2025-03-02,financials,0.4682275132275132,0.25396825396825395,0.5,0.6,0.2388888888888889,0.48148148148148145,1.0,True,2024-11-29,90.0
HRHO,2025-03-27,2025-04-03,financials,0.5818783068783069,0.43650793650793657,0.5,0.825,0.32222222222222224,0.5370370370370371,1.0,True,2025-03-01,26.0
HRHO,2025-04-30,2025-05-04,financials,0.6550595238095239,0.5793650793650794,0.5,0.825,0.551388888888889,0.6111111111111112,1.0,True,2025-03-31,30.0
HRHO,2025-05-28,2025-06-01,financials,0.650200892857143,0.580357142857143,0.5833333333333334,0.7583333333333333,0.5359375000000002,0.5416666666666669,1.0,True,2025-03-31,58.0
HRHO,2025-06-30,2025-07-01,financials,0.612526455026455,0.7142857142857143,0.5833333333333334,0.6083333333333333,0.46944444444444444,0.18518518518518517,0.9444444444444444,True,2025-05-30,31.0
