date,momentum_pyramid_equity,annual_top10_dca_equity,etf_dca_equity
2022-11-28,433822.7694223604,578202.6049344002,555614.7886809399
2022-11-29,441303.02942236036,588454.9749344003,576682.37868094
2022-11-30,433610.5694223604,589061.5849344003,578334.73868094
2022-12-01,455036.6672075603,610468.1254215501,610471.45933019
2022-12-04,471655.4058280104,626546.34493836,628117.33933019
2022-12-05,473625.09382321034,632774.2905866201,648284.0593301901
2022-12-06,473831.75382321037,638104.0661848602,659207.6993301901
2022-12-07,478848.13382321026,655293.4116830601,667190.3593301901
2022-12-08,487015.1938232104,648739.1916830599,680214.6993301901
2022-12-11,486181.6338232104,644213.0616830601,682315.39933019
2022-12-12,487407.1938232104,650198.6116830601,674752.87933019
2022-12-13,495953.4538232103,671782.85168306,676853.57933019
2022-12-14,496167.7938232103,700104.9616830599,696180.01933019
2022-12-15,486487.3738232104,698333.7516830601,706263.37933019
2022-12-18,479634.2938232104,688520.2416830601,695339.7393301901
2022-12-19,483282.0538232104,690911.8816830601,681895.25933019
2022-12-20,487013.75382321037,697616.36168306,676853.57933019
2022-12-21,488621.93382321036,698423.67168306,667190.3593301901
2022-12-22,484777.43382321036,690770.4216830601,668030.63933019
2022-12-25,483473.2338232104,678282.10168306,665089.65933019
2022-12-26,490214.35382321035,693852.06168306,660468.1193301901
2022-12-27,484824.9538232103,689582.6316830601,668450.77933019
2022-12-28,487408.0338232104,691783.7416830601,665089.65933019
2022-12-29,486765.37382321036,695377.8916830601,669291.0593301901
2023-01-02,509908.87759344035,725470.0919119003,679868.5108627899
2023-01-03,515246.53759344027,733420.6719119003,695639.39086279
2023-01-04,534324.5775934402,753457.8719119002,701606.75086279
2023-01-05,539635.6075934403,760284.4619119002,725902.4308627901
2023-01-09,547409.9075934403,774189.3419119002,740820.83086279
2023-01-10,527903.0475934403,738241.8219119002,749345.6308627899
2023-01-11,529103.9475934403,728281.7519119002,696918.11086279
2023-01-12,528676.9175934403,730763.7919119003,725476.19086279
2023-01-15,542455.6875934403,748399.2219119002,723771.23086279
2023-01-16,547410.2175934403,753194.0919119002,724197.4708627899
2023-01-17,546041.1575934403,756606.9719119002,736984.67086279
2023-01-18,541491.1275934402,752980.8019119002,743378.27086279
2023-01-19,540166.1775934403,753021.8419119002,743804.5108627899
2023-01-22,539389.0075934402,751885.5319119003,747214.4308627901
2023-01-23,539229.3575934402,752992.0019119002,737837.15086279
2023-01-24,539073.9475934403,754971.8919119001,752329.31086279
