date,symbol,holding_name,shares,close,value,weight,rank,score
2020-06-04,ORHD,Orascom Development Egypt,2627.0,3.65,9588.55,0.06228419892509922,4.0,0.6043817663817664
2020-06-04,VLMR,Egyptian Kuwaiti Holding,22619.0,1.68,37999.92,0.24683550447334127,2.0,0.8486666666666667
2020-07-06,COMI,Commercial International Bank-Egypt (CIB),1268.0,33.27,42186.36,0.2525291223549108,1.0,0.840941798941799
2020-07-06,EAST,Eastern Company,4394.0,9.5,41743.0,0.24987515288024476,4.0,0.7269276895943562
2020-07-06,ETEL,Telecom Egypt,765.0,13.67,10457.55,0.06259928383208689,3.0,0.8096810473477141
2020-07-06,ORHD,Orascom Development Egypt,1923.0,4.06,7807.379999999999,0.04673526749620691,5.0,0.5785544702211369
2020-07-06,VLMR,Egyptian Kuwaiti Holding,24335.0,1.69,41126.15,0.24618266580326947,2.0,0.8403719983719985
2020-09-03,COMI,Commercial International Bank-Egypt (CIB),1345.0,33.23,44694.35,0.2517417823998657,1.0,0.8388620401337793
2020-09-03,ETEL,Telecom Egypt,3131.0,13.99,43802.69,0.24671949037202184,2.0,0.8209258639910814
2020-09-03,ORHD,Orascom Development Egypt,4618.0,4.58,21150.44,0.11913025839152858,4.0,0.5777040133779265
2020-09-03,VLMR,Egyptian Kuwaiti Holding,16909.0,1.71,28914.39,0.16286085546841722,3.0,0.7776989966555184
2020-10-04,COMI,Commercial International Bank-Egypt (CIB),1345.0,33.17,44613.65,0.2550914499230339,2.0,0.8373620401337794
2020-10-04,ETEL,Telecom Egypt,3670.0,11.94,43819.799999999996,0.2505523828993449,1.0,0.8388681716833892
2020-10-04,ORHD,Orascom Development Egypt,11108.0,3.93,43654.44,0.24960688926322072,4.0,0.5522488851727981
2020-10-04,VLMR,Egyptian Kuwaiti Holding,14192.0,1.65,23416.8,0.13389232812284355,3.0,0.7745019509476033
2020-11-16,COMI,Commercial International Bank-Egypt (CIB),1477.0,31.82,46998.14,0.24798160382550957,2.0,0.790599715099715
2020-11-16,ETEL,Telecom Egypt,3877.0,12.44,48229.88,0.2544807729563738,1.0,0.8138903133903135
2020-11-16,ORHD,Orascom Development Egypt,1643.0,4.31,7081.329999999999,0.0373640227170202,5.0,0.39205555555555555
2020-11-16,RAYA,Raya Holding For Financial Investments,27803.0,0.43,11955.289999999999,0.06308104934363522,4.0,0.6644330484330483
2020-11-16,VLMR,Egyptian Kuwaiti Holding,28570.0,1.65,47140.5,0.2487327540012527,3.0,0.7314928774928776
2020-12-16,ADIB,Abu Dhabi Islamic Bank- Egypt,1084.0,8.22,8910.480000000001,0.04674608982637836,5.0,0.5775541310541312
2020-12-16,COMI,Commercial International Bank-Egypt (CIB),1553.0,31.09,48282.77,0.253300686774042,2.0,0.8026652421652423
2020-12-16,ETEL,Telecom Egypt,3934.0,12.17,47876.78,0.251170785241396,1.0,0.8256699905033238
2020-12-16,ORHD,Orascom Development Egypt,3808.0,4.89,18621.12,0.09768997272736939,,
2020-12-16,RAYA,Raya Holding For Financial Investments,96080.0,0.34,32667.2,0.17137840672738922,4.0,0.6524510921177586
2020-12-16,VLMR,Egyptian Kuwaiti Holding,6916.0,1.57,10858.12,0.056963783417458475,3.0,0.6969976258309593
2021-01-04,ADIB,Abu Dhabi Islamic Bank- Egypt,4429.0,8.04,35609.159999999996,0.1750459139530995,4.0,0.6366708472686733
2021-01-04,COMI,Commercial International Bank-Egypt (CIB),1737.0,29.33,50946.21,0.25043909746527404,2.0,0.8094760312151617
2021-01-04,ETEL,Telecom Egypt,4303.0,11.86,51033.579999999994,0.2508685869983628,1.0,0.8223313823857302
2021-01-04,VLMR,Egyptian Kuwaiti Holding,14782.0,1.55,22912.100000000002,0.1126302750495887,3.0,0.7149665551839465
2021-02-02,ADIB,Abu Dhabi Islamic Bank- Egypt,6320.0,8.31,52519.200000000004,0.23716247638377044,6.0,0.47628901895206244
2021-02-02,COMI,Commercial International Bank-Egypt (CIB),796.0,31.47,25050.12,0.1131195542375096,2.0,0.7325529542920847
2021-02-02,ETEL,Telecom Egypt,4697.0,11.81,55471.57,0.25049457931757657,4.0,0.6856535674470458
2021-02-02,HRHO,EFG Holding,2839.0,8.79,24954.809999999998,0.1126891601030952,1.0,0.7383291527313267
2021-02-02,ORHD,Orascom Development Egypt,4048.0,5.23,21171.04,0.09560268004881756,5.0,0.6182901337792643
2021-02-02,VLMR,Egyptian Kuwaiti Holding,14212.0,1.66,23591.92,0.10653471815731771,3.0,0.6913740245261984
2021-03-01,ABUK,Abou Kir Fertilizers,198.0,22.1,4375.8,0.018879258004880998,8.0,0.6186296296296298
2021-03-01,ADIB,Abu Dhabi Islamic Bank- Egypt,6320.0,8.47,53530.4,0.2309553070763019,9.0,0.6046234567901235
2021-03-01,COMI,Commercial International Bank-Egypt (CIB),155.0,30.84,4780.2,0.020624029689412713,5.0,0.6761481481481482
2021-03-01,ETEL,Telecom Egypt,5033.0,11.51,57929.83,0.24993651600824887,4.0,0.7097777777777778
2021-03-01,GBCO,GB Corp,1049.0,3.99,4185.51,0.01805825750080202,10.0,0.5776481481481481
2021-03-01,HRHO,EFG Holding,4034.0,8.54,34450.35999999999,0.14863504611751727,1.0,0.7693765432098765
2021-03-01,ORHD,Orascom Development Egypt,4839.0,5.53,26759.670000000002,0.11545379451882488,7.0,0.620746913580247
2021-03-01,ORWE,Oriental Weavers,721.0,7.38,5320.98,0.022957208798119588,2.0,0.7499197530864199
2021-03-01,RAYA,Raya Holding For Financial Investments,3657.0,1.25,4571.25,0.01972252117437092,6.0,0.6742222222222223
2021-03-01,VLMR,Egyptian Kuwaiti Holding,19959.0,1.74,34728.659999999996,0.14983576312989408,3.0,0.7465432098765432
2021-04-01,ABUK,Abou Kir Fertilizers,198.0,20.93,4144.14,0.017805715860594044,6.0,0.6476296296296297
2021-04-01,ADIB,Abu Dhabi Islamic Bank- Egypt,6320.0,7.6,48032.0,0.20637433682647136,11.0,0.591604938271605
2021-04-01,COMI,Commercial International Bank-Egypt (CIB),80.0,28.5,2280.0,0.009796250165813513,5.0,0.6778765432098767
2021-04-01,ETEL,Telecom Egypt,5036.0,11.26,56705.36,0.24364030364145392,9.0,0.6347160493827161
2021-04-01,GBCO,GB Corp,1699.0,3.88,6592.12,0.028323709053974813,2.0,0.7326913580246913
2021-04-01,HRHO,EFG Holding,4363.0,8.12,35427.56,0.1522180879492843,3.0,0.7040246913580247
2021-04-01,ORAS,Orascom Construction PLC,24.0,89.88,2157.12,0.009268283841087563,7.0,0.6381481481481481
2021-04-01,ORHD,Orascom Development Egypt,4839.0,5.27,25501.53,0.10956989802236766,10.0,0.6074814814814815
2021-04-01,ORWE,Oriental Weavers,1143.0,7.44,8503.92,0.03653795075002844,1.0,0.8196790123456791
2021-04-01,RAYA,Raya Holding For Financial Investments,5470.0,1.37,7493.900000000001,0.03219829785859206,4.0,0.7001481481481482
2021-04-01,VLMR,Egyptian Kuwaiti Holding,20118.0,1.78,35810.04,0.153861451880609,8.0,0.6356049382716049
2021-05-05,ABUK,Abou Kir Fertilizers,198.0,19.9,3940.2,0.016684912296091405,7.0,0.6042459639126304
2021-05-05,COMI,Commercial International Bank-Egypt (CIB),80.0,29.41,2352.8,0.009963012448668561,9.0,0.5975849952516619
2021-05-05,ETEL,Telecom Egypt,5478.0,10.73,58778.94,0.24890144123577967,1.0,0.7359990503323837
2021-05-05,GBCO,GB Corp,4602.0,3.31,15232.62,0.06450305282465049,4.0,0.6221348528015195
2021-05-05,HRHO,EFG Holding,5633.0,7.86,44275.380000000005,0.1874856180336327,3.0,0.6281538461538461
2021-05-05,ORAS,Orascom Construction PLC,24.0,85.17,2044.08,0.008655727000201644,10.0,0.577363722697056
2021-05-05,ORHD,Orascom Development Egypt,6434.0,6.17,39697.78,0.16810161353472705,5.0,0.6075660018993353
2021-05-05,ORWE,Oriental Weavers,1613.0,6.06,9774.779999999999,0.04139164179828139,6.0,0.6072488129154795
2021-05-05,RAYA,Raya Holding For Financial Investments,12817.0,1.51,19353.670000000002,0.0819537806602445,2.0,0.7148860398860399
2021-05-05,VLMR,Egyptian Kuwaiti Holding,20118.0,1.68,33798.24,0.14311980868033308,8.0,0.6025982905982907
2021-06-01,ABUK,Abou Kir Fertilizers,446.0,18.75,8362.5,0.03382334086272136,10.0,0.5242469135802469
2021-06-01,ADIB,Abu Dhabi Islamic Bank- Egypt,1245.0,8.22,10233.900000000001,0.04139248885560588,4.0,0.6496543209876544
2021-06-01,ETEL,Telecom Egypt,5501.0,11.36,62491.35999999999,0.25275534472406946,2.0,0.6785432098765433
2021-06-01,GBCO,GB Corp,5085.0,3.41,17339.850000000002,0.07013353148681124,9.0,0.5978765432098766
2021-06-01,HRHO,EFG Holding,1304.0,7.74,10092.960000000001,0.04082243663902089,8.0,0.6177530864197531
2021-06-01,MCQE,Misr Cement - Qena,1321.0,7.61,10052.810000000001,0.04066004415643336,5.0,0.6345679012345677
2021-06-01,ORHD,Orascom Development Egypt,6688.0,5.69,38054.72,0.1539178195510218,7.0,0.630641975308642
