entry_date,exit_date,exit_year,symbol,shares,entry_price,exit_price,entry_value,exit_value,total_fees,pnl_egp,return_pct,hold_days,exit_reason
2022-12-08,2023-01-10,2023,EAST,62400.0,10.32,12.15,643968.0,758160.0,10.0,114182.0,0.17730867598486272,33,target
2023-01-10,2023-01-11,2023,COMI,16484.0,46.6,43.7,768154.4,720350.8,10.0,-47813.59999999998,-0.062244372717433355,1,stop
2022-11-30,2023-01-16,2023,EGAL,26198.0,29.16,35.38,763933.68,926885.24,10.0,162941.55999999994,0.21329141234215282,47,target
2023-01-18,2023-01-24,2023,GBCO,143736.0,5.73,5.4,823607.28,776174.4,10.0,-47442.880000000005,-0.057603415043787354,6,stop
2023-01-24,2023-01-31,2023,COMI,16716.0,46.43,52.5,776123.88,877590.0,10.0,101456.12,0.13072071226108736,7,target
2023-01-16,2023-02-02,2023,MCQE,49615.0,16.6,15.8,823609.0000000001,783917.0,10.0,-39702.00000000012,-0.048204620125447246,17,stop
2022-12-19,2023-02-14,2023,ETEL,26610.0,24.2,26.98,643962.0,717937.8,10.0,73965.80000000005,0.11485961237144146,57,max_hold
2023-02-14,2023-02-22,2023,EGCH,130771.0,5.49,5.35,717932.79,699624.85,10.0,-18317.94000000006,-0.025514661931920396,8,stop
2023-02-13,2023-03-06,2023,HELI,83996.0,9.95,9.2,835760.2,772763.2,10.0,-63007.0,-0.07538839855978689,21,stop
2023-02-07,2023-03-16,2023,AMOC,108965.0,7.67,7.19,835761.55,783458.3500000001,10.0,-52313.19999999995,-0.06259307697825421,37,stop
2023-04-10,2023-04-13,2023,VLMRA,16599.0,45.8,42.07,760234.2,698319.93,10.0,-61924.2699999999,-0.08145366616191313,3,stop
2023-04-18,2023-04-19,2023,COMI,12466.0,58.5,54.6,729261.0,680643.6,10.0,-48627.40000000002,-0.06667992200376821,1,stop
2023-04-19,2023-04-27,2023,COMI,12912.0,54.6,52.4,704995.2000000001,676588.7999999999,10.0,-28416.40000000014,-0.04030693892001752,8,stop
2023-03-27,2023-04-27,2023,AMOC,93243.0,8.1,10.18,755268.2999999999,949213.74,10.0,193935.44000000006,0.256775183234996,31,target
2023-04-19,2023-05-02,2023,VLMRA,15389.0,45.81,42.6,704970.0900000001,655571.4,10.0,-49408.69000000006,-0.07008572458921924,13,stop
2023-05-09,2023-05-15,2023,VLMRA,16954.0,45.05,42.36,763777.7,718171.44,10.0,-45616.26000000001,-0.059724133578830746,6,stop
2023-05-09,2023-05-17,2023,ORWE,45599.0,16.75,15.52,763783.25,707696.48,10.0,-56096.77000000002,-0.0734454477402605,8,stop
2023-05-28,2023-06-15,2023,ARCC,91470.0,7.98,7.26,729930.6000000001,664072.2,10.0,-65868.40000000014,-0.09023864571066287,18,stop
2023-05-25,2023-06-21,2023,COMI,13902.0,52.5,51.96,729855.0,722347.92,10.0,-7517.079999999958,-0.010299345079878276,27,signal_fail
2023-06-15,2023-06-26,2023,EGAL,15527.0,43.41,42.57,674027.07,660984.39,10.0,-13052.679999999935,-0.019365072644095312,11,stop
2023-05-24,2023-06-26,2023,ORWE,46787.0,15.6,14.62,729877.2,684025.94,10.0,-45861.26000000001,-0.06283378331462257,33,stop
2023-07-04,2023-07-09,2023,ISPH,267357.0,2.59,2.4,692454.63,641656.7999999999,10.0,-50807.830000000075,-0.07337298493487639,5,stop
2023-07-04,2023-07-10,2023,CCAP,237957.0,2.91,2.45,692454.87,582994.65,10.0,-109470.21999999997,-0.15808890123842118,6,stop
2023-07-04,2023-07-10,2023,EGCH,97255.0,7.12,6.58,692455.6,639937.9,10.0,-52527.69999999995,-0.07585659025221067,6,stop
2023-07-16,2023-08-02,2023,EGCH,89298.0,6.96,6.69,621514.08,597403.62,10.0,-24120.459999999963,-0.03880888097594681,17,stop
