rebalance_date,selection_date,horizon,factor,ic,observations
2023-05-01,2023-04-30,3m,score_low_risk,0.1581474222905673,22
2023-05-01,2023-04-30,3m,score_liquidity,0.009599096555618296,22
2023-05-01,2023-04-30,6m,score_momentum,0.21412432795881536,22
2023-05-01,2023-04-30,6m,score_value,-0.3654412050367773,22
2023-05-01,2023-04-30,6m,score_quality,-0.14192832954048004,22
2023-05-01,2023-04-30,6m,score_growth,0.06495340558362588,22
2023-05-01,2023-04-30,6m,score_low_risk,0.4157017957352055,22
2023-05-01,2023-04-30,6m,score_liquidity,-0.1394692264257482,22
2023-06-01,2023-05-31,1m,score_momentum,-0.16657255787690575,22
2023-06-01,2023-05-31,1m,score_value,-0.3337108876571667,22
2023-06-01,2023-05-31,1m,score_quality,-0.3042129135170448,22
2023-06-01,2023-05-31,1m,score_growth,0.03557312252964427,22
2023-06-01,2023-05-31,1m,score_low_risk,-0.12489408273765307,22
2023-06-01,2023-05-31,1m,score_liquidity,0.08413325804630155,22
2023-06-01,2023-05-31,3m,score_momentum,-0.02089215132693394,22
2023-06-01,2023-05-31,3m,score_value,0.10859744140707797,22
2023-06-01,2023-05-31,3m,score_quality,0.16171913246445133,22
2023-06-01,2023-05-31,3m,score_growth,0.025409373235460195,22
2023-06-01,2023-05-31,3m,score_low_risk,0.0864651342029906,22
2023-06-01,2023-05-31,3m,score_liquidity,0.25578769057029926,22
2023-06-01,2023-05-31,6m,score_momentum,-0.09090909090909091,22
2023-06-01,2023-05-31,6m,score_value,-0.10011326629715002,22
2023-06-01,2023-05-31,6m,score_quality,-0.3240037164410162,22
2023-06-01,2023-05-31,6m,score_growth,0.011857707509881424,22
2023-06-01,2023-05-31,6m,score_low_risk,0.39446185407638834,22
2023-06-01,2023-05-31,6m,score_liquidity,-0.04686617730095992,22
2023-07-04,2023-06-26,1m,score_momentum,0.19269865501021705,20
2023-07-04,2023-06-26,1m,score_value,0.11835698944907698,20
2023-07-04,2023-06-26,1m,score_quality,0.23945810288394392,20
2023-07-04,2023-06-26,1m,score_growth,0.25112781954887214,20
2023-07-04,2023-06-26,1m,score_low_risk,0.3125003543925683,20
2023-07-04,2023-06-26,1m,score_liquidity,-0.11879699248120301,20
2023-07-04,2023-06-26,3m,score_momentum,0.1535567407112667,20
2023-07-04,2023-06-26,3m,score_value,0.22163665540145627,20
2023-07-04,2023-06-26,3m,score_quality,0.2771087479914822,20
2023-07-04,2023-06-26,3m,score_growth,0.0781954887218045,20
2023-07-04,2023-06-26,3m,score_low_risk,0.42545228971518334,20
2023-07-04,2023-06-26,3m,score_liquidity,-0.060150375939849614,20
2023-07-04,2023-06-26,6m,score_momentum,0.20775323743289026,20
2023-07-04,2023-06-26,6m,score_value,-0.091971673329856,20
2023-07-04,2023-06-26,6m,score_quality,-0.155120657843058,20
2023-07-04,2023-06-26,6m,score_growth,0.2556390977443609,20
2023-07-04,2023-06-26,6m,score_low_risk,0.42545228971518334,20
2023-07-04,2023-06-26,6m,score_liquidity,-0.31729323308270674,20
2023-08-01,2023-07-31,1m,score_momentum,-0.0011299436831599752,22
2023-08-01,2023-07-31,1m,score_value,-0.18645635154769985,22
2023-08-01,2023-07-31,1m,score_quality,-0.14649342356475623,22
2023-08-01,2023-07-31,1m,score_growth,0.32655372443323283,22
2023-08-01,2023-07-31,1m,score_low_risk,0.05477131564088086,22
2023-08-01,2023-07-31,1m,score_liquidity,-0.23658949745906271,22
2023-08-01,2023-07-31,3m,score_momentum,-0.08531074807857814,22
2023-08-01,2023-07-31,3m,score_value,-0.06460797591622425,22
2023-08-01,2023-07-31,3m,score_quality,-0.041289652201649436,22
2023-08-01,2023-07-31,3m,score_growth,0.13220341092971713,22
2023-08-01,2023-07-31,3m,score_low_risk,-0.06493506493506496,22
2023-08-01,2023-07-31,3m,score_liquidity,-0.18577075098814233,22
2023-08-01,2023-07-31,6m,score_momentum,0.002824859207899938,22
2023-08-01,2023-07-31,6m,score_value,0.1008791202902449,22
2023-08-01,2023-07-31,6m,score_quality,-0.13800924845482826,22
2023-08-01,2023-07-31,6m,score_growth,0.02937853576215936,22
2023-08-01,2023-07-31,6m,score_low_risk,-0.02766798418972332,22
2023-08-01,2023-07-31,6m,score_liquidity,-0.16544325239977417,22
2023-09-03,2023-08-31,1m,score_momentum,-0.11879699248120301,20
2023-09-03,2023-08-31,1m,score_value,0.18346704046297058,20
2023-09-03,2023-08-31,1m,score_quality,0.15199402346396812,20
2023-09-03,2023-08-31,1m,score_growth,-0.04210526315789473,20
2023-09-03,2023-08-31,1m,score_low_risk,0.3362166465672763,20
2023-09-03,2023-08-31,1m,score_liquidity,-0.060150375939849614,20
2023-09-03,2023-08-31,3m,score_momentum,-0.1263157894736842,20
2023-09-03,2023-08-31,3m,score_value,0.040015445039248726,20
2023-09-03,2023-08-31,3m,score_quality,0.15274646912468082,20
2023-09-03,2023-08-31,3m,score_growth,0.1518796992481203,20
2023-09-03,2023-08-31,3m,score_low_risk,0.3550207095743947,20
2023-09-03,2023-08-31,3m,score_liquidity,-0.19999999999999998,20
2023-09-03,2023-08-31,6m,score_momentum,-0.1969924812030075,20
2023-09-03,2023-08-31,6m,score_value,-0.09362104122390269,20
2023-09-03,2023-08-31,6m,score_quality,-0.1346877732675757,20
2023-09-03,2023-08-31,6m,score_growth,0.12481203007518797,20
2023-09-03,2023-08-31,6m,score_low_risk,0.1910492801523226,20
2023-09-03,2023-08-31,6m,score_liquidity,-0.5338345864661653,20
2023-10-01,2023-09-27,1m,score_momentum,0.21441157892974216,19
2023-10-01,2023-09-27,1m,score_value,-0.10026420125303973,19
2023-10-01,2023-09-27,1m,score_quality,0.03174647611626639,19
