family,number,value,param_core_weight,param_reserve_weight,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_buy_mild,param_buy_deep,param_trend_buffer_atr,param_topup_profile,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
dca_pullback_topup,14,-0.09557053575442698,0.75,0.2,32,4,27,21,-90.0,-100.0,1.4000000000000001,50_75_100,17,4.1,1.4,2.3095955479665697,0.5388019367560466,1.921109390000784,5.0,0.23632424203023905,2.9406278583297416,4.0,0.536156262810991,-0.12582391216654437,334288.3912535676,2.1746210342083603,0.31531212312180856,1.7993423940308895,inf,0.11453251995030944,2.75303576013702,1.0,0.4664338700063628,-0.09557053575442698,0.5620044057607898,394012.3762968801
dca_pullback_topup,15,-0.06188004796420543,0.8,0.2,23,5,26,20,-90.0,-80.0,0.8,50_75_100,17,4.0,1.4,2.3818414572501485,0.5791322459877244,1.9440596260154455,5.0,0.24424440296643057,3.08244669310001,4.0,0.5762540440803672,-0.08572613089716824,341362.43783246505,2.1963029457898315,0.3368759441162841,1.8042774794879841,inf,0.12090938033419385,2.786185349599494,1.0,0.5001243577965844,-0.06188004796420543,0.5620044057607898,401432.5135214701
dca_pullback_topup,16,-0.08529302521515136,0.8,0.2,23,5,25,16,-60.0,-70.0,0.7000000000000001,50_75_100,22,2.7,1.5,2.330042615393362,0.5652693057276585,1.8935818715979817,5.0,0.2481781751783968,2.982255966149446,4.0,0.5624710454610832,-0.09950912951645219,339091.13494390005,2.0743056324879974,0.32190508970227016,1.729487568460451,inf,0.12760962123594677,2.5225769544999768,1.0,0.47671138054563844,-0.08529302521515136,0.5620044057607898,397267.6126055001
dca_pullback_topup,17,-0.09982959345089326,0.8,0.2,15,5,25,24,-95.0,-115.0,0.8,33_66_100,16,3.7,0.5,2.3195452142671544,0.5407330408267221,1.9058226928725324,5.0,0.2465535414459682,2.969789258346785,4.0,0.5380751632996964,-0.12390501167783896,334649.817350785,2.1411149656649493,0.31257611680472364,1.7720004461505543,inf,0.11654779139276805,2.681956586816277,1.0,0.46217481230989654,-0.09982959345089326,0.5620044057607898,393712.7833034701
dca_pullback_topup,18,-0.08283171400090183,0.8,0.3,24,5,47,17,-65.0,-75.0,0.4,50_75_100,23,2.8,1.7000000000000002,2.345943856004558,0.5719077299748543,1.907711425355766,5.0,0.2529371907766522,3.0117425367218407,4.0,0.5690659901523929,-0.09291418482514247,340445.2419211925,2.080002129554544,0.32348207012035224,1.7305914741039552,inf,0.12760631843106807,2.5350004145374254,1.0,0.47917269175988797,-0.08283171400090183,0.5620044057607898,397483.2272324201
dca_pullback_topup,19,-0.07772949145272823,0.8,0.2,15,4,36,22,-90.0,-75.0,1.0,50_75_100,20,4.300000000000001,2.3,2.3144894765701016,0.5649831339384681,1.8946164300916797,5.0,0.25320027620807173,2.9431996521486807,4.0,0.5621854190693689,-0.09979475590816644,339376.79474486253,2.1329980264769204,0.3267487300688483,1.7706453436993608,inf,0.12332183385089823,2.6495610701337977,1.0,0.4842749143080616,-0.07772949145272823,0.5620044057607898,397903.0000582201
dca_pullback_topup,20,-0.1025292811067422,0.8,0.3,21,5,28,11,-50.0,-140.0,1.2000000000000002,33_66_100,30,1.2,1.1,2.374333594842563,0.5453968953921604,1.9139680305708253,5.0,0.2515696726346144,3.10021526639608,4.0,0.5427092211782827,-0.11927095379925268,335855.80765423004,2.1213542031873596,0.3108406729292008,1.763673867088596,inf,0.11786680576137731,2.6372197916222593,1.0,0.4594751246540476,-0.1025292811067422,0.5620044057607898,393378.31110992003
dca_pullback_topup,21,-0.07988897840132592,0.8,0.2,15,4,36,22,-90.0,-70.0,0.9,50_75_100,19,4.2,2.6,2.318657364182997,0.5655271755437028,1.9076109566184052,5.0,0.24982200171013447,2.948338855025423,4.0,0.5627276106907962,-0.09925256428673912,339347.8062689225,2.1271734987161515,0.3253665246430284,1.7649860666389794,inf,0.12332183385089823,2.638352954079579,1.0,0.4821154273594639,-0.07988897840132592,0.5620044057607898,397338.87890872016
dca_pullback_topup,22,-0.10031050949010023,0.8,0.2,14,4,24,18,-85.0,-105.0,0.5,50_75_100,16,3.7,1.9000000000000001,2.3374132438801136,0.5665893022351891,1.9113722003313365,5.0,0.2535845445151297,2.99302357149548,4.0,0.5637814228293687,-0.09819875214816659,339528.3742826475,2.0782078590462785,0.31226703557561475,1.7258534045682237,inf,0.12283006585057432,2.54226873048733,1.0,0.4616938962706896,-0.10031050949010023,0.5620044057607898,392994.6005849601
dca_pullback_topup,23,-0.06671310224491789,0.8,0.2,18,5,37,23,-75.0,-85.0,0.9,50_75_100,19,4.300000000000001,2.3,2.3140052102248285,0.5668893634262476,1.896687753359634,5.0,0.2514307601682273,2.9397856519029584,4.0,0.5640793127220396,-0.09790086225549571,339738.64658942254,2.141659049806898,0.33379103499672524,1.7829123002652774,inf,0.12546939566416693,2.660338269980632,1.0,0.4952913035158719,-0.06671310224491789,0.5620044057607898,400305.2268177501
