family,number,value,param_regime_ma,param_rsi_len,param_rsi_entry,param_rsi_exit,param_bb_len,param_bb_std,param_atr_stop,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity
mean_reversion,89,-0.06619801749775353,194,17,21.0,69.5,29,1.9,3.7,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,90,-0.08842913619819537,200,18,37.5,45.5,35,2.2,3.0,-0.08842913619819537,-0.0033681720839267293,-0.03028079799802874,0.0,0.08077404561091628,-0.041699698644215535,2.0,-0.003354851262659525,-0.6653350262401949,234496.7747392475
mean_reversion,91,0.8453502401874272,205,18,37.0,65.0,40,2.1,3.3000000000000003,0.8453502401874272,0.04789492694703096,0.5092397956651606,5.094196523437901,0.08077404561091628,0.6457835723184164,5.0,0.04769874018633852,-0.6142814347911969,242965.85258620256
mean_reversion,92,0.8113712937081858,211,19,38.5,67.0,39,2.1,3.1,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,93,0.8113712937081858,204,17,39.5,68.0,40,2.2,3.2,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,94,0.5917551527105451,215,18,38.0,66.5,37,2.3,3.4000000000000004,0.5917551527105451,0.040632456045583076,0.4637325993711504,2.5,0.08077404561091628,0.5030507575554473,2.0,0.040464860713305795,-0.6215153142642296,241343.25502163003
mean_reversion,95,0.4597868988370485,189,19,36.5,64.0,36,2.1,3.5,0.4597868988370485,0.022609165347284688,0.2431569063158281,2.5,0.08394348433641652,0.26934450433373724,2.0,0.02251745584475978,-0.6394627191327755,238487.862771575
mean_reversion,96,0.5613591944485502,228,20,34.0,65.5,38,2.0,3.1,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,97,0.010174951660886972,208,15,37.5,67.5,40,2.2,1.0,0.010174951660886972,-0.02100342491729379,-0.10980528584018459,1.25,0.0816288723303612,-0.2209079072196839,7.0,-0.02092390093999516,-0.6829040759175306,232247.79880911004
mean_reversion,98,0.8799985832126349,218,18,40.0,68.5,39,2.3,2.6,0.8799985832126349,0.05228499540604292,0.5865242801323278,3.75,0.08077404561091628,0.7001348733122115,3.0,0.05207010284446112,-0.6099100721330742,243785.53400126254
mean_reversion,99,0.5613591944485502,218,17,40.0,68.5,39,3.0,2.6,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,100,0.46932191345685237,116,12,39.0,70.0,34,2.3,2.2,0.46932191345685237,0.022284346619294904,0.2899133678961624,2.5,0.08077404561091628,0.2758916454839906,2.0,0.022193982527264067,-0.6397861924502712,238329.08131240503
mean_reversion,101,0.8113712937081858,227,18,39.5,61.5,38,2.2,2.8,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,102,0.8799985832126349,212,19,38.5,69.0,39,2.3,2.3,0.8799985832126349,0.05228499540604292,0.5865242801323278,3.75,0.08077404561091628,0.7001348733122115,3.0,0.05207010284446112,-0.6099100721330742,243785.53400126254
mean_reversion,103,0.864054962636312,213,19,38.0,69.0,39,2.3,2.3,0.864054962636312,0.051657136773781864,0.5193100435096761,3.75,0.08183319852208337,0.6859513835982288,3.0,0.051444928135661594,-0.6105352468418738,243691.7360697275
mean_reversion,104,0.5758115321342222,221,20,38.5,69.5,39,2.4,2.3,0.5758115321342222,0.04000459741332202,0.3965183627484987,2.5,0.08183319852208337,0.48886726784146467,2.0,0.03983968600450627,-0.6221404889730291,241249.457090095
mean_reversion,105,0.864054962636312,212,19,38.0,69.0,39,2.3,2.4000000000000004,0.864054962636312,0.051657136773781864,0.5193100435096761,3.75,0.08183319852208337,0.6859513835982288,3.0,0.051444928135661594,-0.6105352468418738,243691.7360697275
mean_reversion,106,0.5613591944485502,213,19,36.0,69.0,39,2.3,2.4000000000000004,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,107,0.5613591944485502,232,20,38.0,68.5,40,2.4,2.2,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,108,0.5613591944485502,218,18,35.5,69.5,38,2.5,2.5,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
mean_reversion,109,0.5917551527105451,224,17,37.5,70.0,39,2.4,2.0,0.5917551527105451,0.040632456045583076,0.4637325993711504,2.5,0.08077404561091628,0.5030507575554473,2.0,0.040464860713305795,-0.6215153142642296,241343.25502163003
mean_reversion,110,0.427414744112915,210,20,38.5,69.0,23,2.3,2.3,0.427414744112915,0.024454891630573405,0.2729404426076385,1.992830817410561,0.08183319852208337,0.36605127212058064,5.0,0.024355854335916916,-0.6376243206416184,239048.03826181003
mean_reversion,111,0.84960262495064,215,19,37.0,67.0,40,2.3,2.4000000000000004,0.84960262495064,0.05040546974415222,0.4979968354262757,3.75,0.08394348433641652,0.6587504072067976,3.0,0.050198603029026345,-0.611781571948509,243504.74170725752
mean_reversion,112,-0.06619801749775353,215,19,25.5,68.0,40,2.3,2.1,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,113,0.864054962636312,219,18,36.5,67.0,40,2.3,2.5,0.864054962636312,0.051657136773781864,0.5193100435096761,3.75,0.08183319852208337,0.6859513835982288,3.0,0.051444928135661594,-0.6105352468418738,243691.7360697275
mean_reversion,114,0.5613591944485502,220,19,36.5,67.0,39,2.3,2.4000000000000004,0.5613591944485502,0.038752930383692374,0.3752051546650983,2.5,0.08394348433641652,0.46166629145003346,2.0,0.03859336089787102,-0.6233868140796643,241062.462727625
