symbol,sample,rule,horizon_days,samples,days_on,coverage,avg_excess_on,hit_rate_on,avg_excess_off,hit_rate_off,edge_avg_excess,edge_hit_rate
EMFD,month_end,relative_breakout_63,21,125,5,0.04,-0.08773222818173387,0.2,-0.0013529770843285465,0.45,-0.08637925109740532,-0.25
EMFD,month_end,rel_mom_63_gt_0,63,122,49,0.4016393442622951,-0.03214491730348034,0.40816326530612246,-0.004534961197578263,0.4794520547945205,-0.027609956105902077,-0.07128878948839806
EMFD,month_end,rel_mom_126_gt_0,63,122,52,0.4262295081967213,-0.008986580865484286,0.5,-0.020555013004122387,0.4142857142857143,0.011568432138638101,0.08571428571428569
EMFD,month_end,ratio_gt_sma50,63,122,41,0.3360655737704918,-0.043823398243570656,0.3902439024390244,-0.0013505405840413985,0.48148148148148145,-0.04247285765952926,-0.09123757904245705
EMFD,month_end,ratio_gt_sma200,63,122,40,0.32786885245901637,-0.047682680172486544,0.425,1.4074287874537992e-05,0.4634146341463415,-0.047696754460361084,-0.0384146341463415
EMFD,month_end,sma50_gt_sma200,63,122,49,0.4016393442622951,-0.01594348269794047,0.46938775510204084,-0.015409896754721467,0.4383561643835616,-0.0005335859432190043,0.03103159071847922
EMFD,month_end,rel_mom_63_volume_1_1,63,122,17,0.13934426229508196,-0.006713442724542368,0.47058823529411764,-0.01706690084739552,0.44761904761904764,0.010353458122853154,0.022969187675070002
EMFD,month_end,residual_strength_63_gt_0,63,122,59,0.48360655737704916,-0.029615950253080142,0.3898305084745763,-0.002520826196222567,0.5079365079365079,-0.027095124056857576,-0.11810599946193162
EMFD,month_end,relative_breakout_63,63,122,5,0.040983606557377046,-0.10490835916333745,0.2,-0.011808643756214213,0.46153846153846156,-0.09309971540712324,-0.26153846153846155
EMFD,month_end,rel_mom_63_gt_0,126,119,48,0.40336134453781514,-0.034371449141563676,0.375,-0.06784120388343888,0.39436619718309857,0.033469754741875204,-0.019366197183098566
EMFD,month_end,rel_mom_126_gt_0,126,119,52,0.4369747899159664,-0.04259555038004888,0.36538461538461536,-0.06345651365308472,0.40298507462686567,0.02086096327303584,-0.037600459242250306
EMFD,month_end,ratio_gt_sma50,126,119,39,0.3277310924369748,-0.09467581287569808,0.2564102564102564,-0.03467747915458741,0.45,-0.05999833372111067,-0.19358974358974362
EMFD,month_end,ratio_gt_sma200,126,119,40,0.33613445378151263,-0.07096794522932431,0.275,-0.04592199019425627,0.4430379746835443,-0.025045955035068047,-0.16803797468354426
EMFD,month_end,sma50_gt_sma200,126,119,49,0.4117647058823529,-0.05561423811414939,0.2857142857142857,-0.05344939095608423,0.45714285714285713,-0.0021648471580651557,-0.17142857142857143
EMFD,month_end,rel_mom_63_volume_1_1,126,119,16,0.13445378151260504,-0.020247721451485352,0.625,-0.059636810595101473,0.34951456310679613,0.03938908914361612,0.27548543689320387
EMFD,month_end,residual_strength_63_gt_0,126,119,57,0.4789915966386555,0.0011295120851150683,0.40350877192982454,-0.10533769715114154,0.3709677419354839,0.1064672092362566,0.032541029994340664
EMFD,month_end,relative_breakout_63,126,119,5,0.04201680672268908,-0.052646393407205984,0.2,-0.0544151146270455,0.39473684210526316,0.0017687212198395155,-0.19473684210526315
ETEL,month_end,rel_mom_63_gt_0,21,131,63,0.48091603053435117,-0.00981647027006331,0.47619047619047616,0.021267075470668525,0.5441176470588235,-0.031083545740731834,-0.06792717086834732
ETEL,month_end,rel_mom_126_gt_0,21,131,67,0.5114503816793893,-0.010893734219896934,0.47761194029850745,0.02433755777694634,0.546875,-0.03523129199684327,-0.06926305970149255
ETEL,month_end,ratio_gt_sma50,21,131,67,0.5114503816793893,-0.02943004745397341,0.40298507462686567,0.043742760693870154,0.625,-0.07317280814784356,-0.22201492537313433
ETEL,month_end,ratio_gt_sma200,21,131,60,0.4580152671755725,-0.020884719321201936,0.45,0.029307136116388553,0.5633802816901409,-0.050191855437590485,-0.11338028169014086
ETEL,month_end,sma50_gt_sma200,21,131,51,0.3893129770992366,0.0018497216375545518,0.47058823529411764,0.009167346268452363,0.5375,-0.0073176246308978106,-0.06691176470588234
ETEL,month_end,rel_mom_63_volume_1_1,21,131,21,0.16030534351145037,-0.0016325205712576123,0.47619047619047616,0.007836422154435281,0.5181818181818182,-0.009468942725692894,-0.041991341991342024
ETEL,month_end,residual_strength_63_gt_0,21,131,89,0.6793893129770993,-0.004036233731059913,0.47191011235955055,0.028260673977519128,0.5952380952380952,-0.03229690770857904,-0.12332798287854468
ETEL,month_end,relative_breakout_63,21,131,6,0.04580152671755725,0.015945371302199546,0.5,0.00585641021742619,0.512,0.010088961084773355,-0.01200000000000001
ETEL,month_end,rel_mom_63_gt_0,63,128,60,0.46875,0.024055566430365386,0.5166666666666667,0.0303389831945782,0.5294117647058824,-0.0062834167642128146,-0.012745098039215641
ETEL,month_end,rel_mom_126_gt_0,63,128,64,0.5,0.0371102180222956,0.53125,0.017677045150411276,0.515625,0.019433172871884327,0.015625
ETEL,month_end,ratio_gt_sma50,63,128,64,0.5,0.010638682920933307,0.5,0.044148580251773574,0.546875,-0.03350989733084027,-0.046875
ETEL,month_end,ratio_gt_sma200,63,128,57,0.4453125,0.028928340812970414,0.543859649122807,0.02616154108047784,0.5070422535211268,0.002766799732492574,0.03681739560168029
ETEL,month_end,sma50_gt_sma200,63,128,48,0.375,0.01402261760196571,0.4375,0.03541623997698608,0.575,-0.02139362237502037,-0.13749999999999996
ETEL,month_end,rel_mom_63_volume_1_1,63,128,18,0.140625,0.0012304701596098952,0.2777777777777778,0.03167487618345693,0.5636363636363636,-0.030444406023847032,-0.2858585858585858
ETEL,month_end,residual_strength_63_gt_0,63,128,86,0.671875,0.013558074158855564,0.5,0.05572358250932529,0.5714285714285714,-0.04216550835046973,-0.0714285714285714
ETEL,month_end,relative_breakout_63,63,128,6,0.046875,-0.05586149397902196,0.5,0.03148814595842108,0.5245901639344263,-0.08734963993744305,-0.024590163934426257
ETEL,month_end,rel_mom_63_gt_0,126,125,57,0.456,0.048782247135466125,0.6842105263157895,0.06519608298061115,0.6176470588235294,-0.016413835845145025,0.06656346749226005
ETEL,month_end,rel_mom_126_gt_0,126,125,61,0.488,0.0582477920113399,0.6557377049180327,0.057200100261115515,0.640625,0.001047691750224386,0.015112704918032738
ETEL,month_end,ratio_gt_sma50,126,125,62,0.496,0.05323315304521342,0.6935483870967742,0.06211851175555389,0.6031746031746031,-0.00888535871034047,0.0903737839221711
ETEL,month_end,ratio_gt_sma200,126,125,54,0.432,0.06593204145997876,0.6851851851851852,0.05145903507837005,0.6197183098591549,0.014473006381608713,0.06546687532603035
ETEL,month_end,sma50_gt_sma200,126,125,45,0.36,0.04768008772163835,0.6444444444444445,0.06335397227411751,0.65,-0.015673884552479166,-0.005555555555555536
ETEL,month_end,rel_mom_63_volume_1_1,126,125,16,0.128,-0.05681817946013872,0.4375,0.07452305138316832,0.6788990825688074,-0.13134123084330704,-0.24139908256880738
ETEL,month_end,residual_strength_63_gt_0,126,125,83,0.664,0.04601432109504988,0.6626506024096386,0.08082697805985682,0.6190476190476191,-0.03481265696480694,0.04360298336201951
ETEL,month_end,relative_breakout_63,126,125,5,0.04,0.08497302984633534,0.8,0.056575471501428755,0.6416666666666667,0.028397558344906586,0.15833333333333333
FWRY,month_end,rel_mom_63_gt_0,21,78,34,0.4358974358974359,0.05365220117659525,0.5882352941176471,0.19022738438263234,0.5,-0.1365751832060371,0.08823529411764708
FWRY,month_end,rel_mom_126_gt_0,21,78,25,0.32051282051282054,-0.00750673562930023,0.48,0.19588392723721818,0.5660377358490566,-0.2033906628665184,-0.0860377358490566
FWRY,month_end,ratio_gt_sma50,21,78,31,0.3974358974358974,0.1282339246451672,0.6129032258064516,0.13231761891148672,0.48936170212765956,-0.004083694266319521,0.12354152367879206
FWRY,month_end,ratio_gt_sma200,21,78,20,0.2564102564102564,0.018423296353492085,0.55,0.16940885906500378,0.5344827586206896,-0.1509855627115117,0.015517241379310431
FWRY,month_end,sma50_gt_sma200,21,78,22,0.28205128205128205,0.018401656766576423,0.5454545454545454,0.1748097018567032,0.5357142857142857,-0.15640804509012676,0.009740259740259716
FWRY,month_end,rel_mom_63_volume_1_1,21,78,10,0.1282051282051282,0.01695388549743735,0.4,0.1474211896744954,0.5588235294117647,-0.13046730417705807,-0.1588235294117647
