rebalance_date,selection_date,candidates_after_gates,fundamental_rows_available,fundamental_coverage_ratio,revenue_ttm_coverage,net_income_ttm_coverage,operating_cf_ttm_coverage,earnings_yield_coverage,pe_ratio_coverage,book_to_price_coverage,pb_ratio_coverage,roe_coverage,roa_coverage,cash_conversion_coverage,leverage_inverse_coverage,revenue_growth_coverage,net_income_growth_coverage,positive_earnings_count_4p_coverage,margin_stability_4p_coverage
2021-05-05,2021-04-26,27,16,0.5925925925925926,0.0,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.4444444444444444,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.4444444444444444,0.5925925925925926,0.0,0.0,0.5925925925925926,0.0
2021-06-01,2021-05-31,27,22,0.8148148148148148,0.0,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.6666666666666666,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.6666666666666666,0.8148148148148148,0.0,0.5925925925925926,0.8148148148148148,0.0
2021-07-04,2021-06-30,27,22,0.8148148148148148,0.0,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.6666666666666666,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.6666666666666666,0.8148148148148148,0.0,0.5925925925925926,0.8148148148148148,0.0
2021-08-01,2021-07-29,25,20,0.8,0.0,0.8,0.8,0.8,0.68,0.8,0.8,0.8,0.8,0.68,0.8,0.0,0.6,0.8,0.0
2021-09-01,2021-08-31,25,20,0.8,0.0,0.8,0.8,0.8,0.68,0.8,0.76,0.8,0.8,0.68,0.8,0.0,0.8,0.8,0.0
2021-10-03,2021-09-28,25,23,0.92,0.0,0.92,0.92,0.92,0.72,0.92,0.88,0.92,0.92,0.72,0.92,0.0,0.8,0.92,0.0
2021-11-01,2021-10-31,25,23,0.92,0.0,0.92,0.92,0.92,0.72,0.92,0.88,0.92,0.92,0.72,0.92,0.0,0.8,0.92,0.0
2021-12-01,2021-11-30,25,23,0.92,0.0,0.92,0.92,0.92,0.76,0.92,0.88,0.92,0.92,0.76,0.92,0.0,0.88,0.92,0.0
2022-01-02,2021-12-29,25,23,0.92,0.0,0.92,0.92,0.92,0.76,0.92,0.88,0.92,0.92,0.76,0.92,0.0,0.88,0.92,0.0
2022-02-01,2022-01-31,24,22,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.9166666666666666,0.875,0.9166666666666666,0.9166666666666666,0.75,0.9166666666666666,0.0,0.875,0.9166666666666666,0.0
