date,symbol,holding_name,action,shares,price,value,fee,fixed_fee,bps_fee
2015-04-01,COMI,Commercial International Bank-Egypt (CIB),BUY,23.0,17.958975,413.056425,5.82611285,5.0,0.82611285
2015-04-01,EAST,Eastern Company,BUY,121.0,3.411705,412.816305,5.8256326099999995,5.0,0.82563261
2015-04-01,EGAL,Egypt Aluminum,BUY,87.0,4.762379999999999,414.32705999999996,5.8286541199999995,5.0,0.8286541199999999
2015-04-01,EGCH,Egyptian Chemical Industries (KIMA),BUY,111.0,3.731865,414.237015,5.82847403,5.0,0.82847403
2015-04-01,ETEL,Telecom Egypt,BUY,37.0,11.18559,413.86683,5.82773366,5.0,0.82773366
2015-04-01,GBCO,GB Corp,BUY,70.0,5.912955,413.90685,5.8278137,5.0,0.8278137000000001
2015-04-01,HELI,Heliopolis Housing,BUY,75.0,5.472734999999999,410.45512499999995,5.82091025,5.0,0.82091025
2015-04-01,HRHO,EFG Holding,BUY,66.0,6.213105,410.06493,5.82012986,5.0,0.82012986
2015-04-01,JUFO,Juhayna Food Industries,BUY,45.0,9.10455,409.70475,5.8194095,5.0,0.8194095
2015-04-01,MCQE,Misr Cement - Qena,BUY,14.0,28.47423,398.63921999999997,5.7972784399999995,5.0,0.7972784399999999
2015-04-01,OIH,Orascom Investment Holding,BUY,95.0,4.352174999999999,413.4566249999999,5.82691325,5.0,0.8269132499999998
2015-04-01,ORAS,Orascom Construction PLC,BUY,3.0,114.487215,343.46164500000003,5.68692329,5.0,0.6869232900000001
2015-04-01,ORHD,Orascom Development Egypt,BUY,165.0,2.511255,414.35707499999995,5.82871415,5.0,0.8287141499999999
2015-04-01,ORWE,Oriental Weavers,BUY,58.0,7.133565,413.74676999999997,5.82749354,5.0,0.82749354
2015-04-01,PHDC,Palm Hills Development Company,BUY,111.0,3.72186,413.12646,5.82625292,5.0,0.8262529200000001
2015-04-01,RAYA,Raya Holding For Financial Investments,BUY,3459.0,0.12005999999999999,415.28754,5.83057508,5.0,0.83057508
2015-04-01,TMGH,T M G Holding,BUY,39.0,10.455224999999999,407.75377499999996,5.8155075499999995,5.0,0.81550755
2015-04-01,VLMR,Egyptian Kuwaiti Holding,BUY,456.0,0.910455,415.16748,5.83033496,5.0,0.8303349600000001
2015-05-03,ABUK,Abou Kir Fertilizers,BUY,37.0,10.675334999999999,394.98739499999994,5.78997479,5.0,0.7899747899999999
2015-05-03,ADIB,Abu Dhabi Islamic Bank- Egypt,BUY,75.0,5.272634999999999,395.44762499999996,5.79089525,5.0,0.7908952499999999
2015-05-03,AMOC,Alexandria Mineral Oils Company,BUY,127.0,3.1315649999999997,397.70875499999994,5.79541751,5.0,0.7954175099999999
2015-05-03,ARCC,Arabian Cement Company,BUY,22.0,17.48874,384.75228,5.76950456,5.0,0.76950456
2015-05-03,BFTH,Beltone Holding,BUY,287.0,1.3906949999999998,399.1294649999999,5.79825893,5.0,0.7982589299999999
2015-05-03,CCAP,QALA For Financial Investments,BUY,172.0,2.32116,399.23951999999997,5.79847904,5.0,0.7984790399999999
