rebalance_date,feature,training_months,training_rows,monthly_ic_count,raw_ic_mean,weight,warmup_complete
2024-05-01,down_day_excess_63,105,2599,104,-0.06305200015269845,-0.08466515945095292,True
2024-05-01,residual_strength_21_126b,105,2599,101,0.02224352828775915,0.029868233595668293,True
2024-05-01,residual_strength_63_126b,105,2599,98,-0.04253661982741737,-0.05711745371235029,True
2024-05-01,residual_strength_126_126b,105,2599,92,-0.07866087737131772,-0.10562449579816298,True
2024-06-02,rel_mom_21,106,2624,105,0.024362818662230952,0.03334258709790131,True
2024-06-02,rel_mom_63,106,2624,103,-0.04723533445577366,-0.06464556811038182,True
2024-06-02,rel_mom_126,106,2624,99,-0.10736002314336623,-0.14693131251023286,True
2024-06-02,ratio_vs_sma50,106,2624,104,0.003255426360378506,0.004455327540979389,True
2024-06-02,ratio_vs_sma200,106,2624,92,-0.09974785806909539,-0.13651341790980423,True
2024-06-02,sma50_vs_sma200,106,2624,92,-0.10679747910056815,-0.14616142319637943,True
2024-06-02,vol_adj_rel_mom_63,106,2624,103,-0.04961521731927042,-0.06790263999352808,True
2024-06-02,volume_ratio_20_63,106,2624,103,0.05173192408174443,0.07079953302413292,True
2024-06-02,mom63_volume_score,106,2624,103,-0.04004804877906018,-0.05480915706140784,True
2024-06-02,down_day_excess_63,106,2624,105,-0.05812183458347861,-0.07954466840463639,True
2024-06-02,residual_strength_21_126b,106,2624,102,0.02043420259564688,0.027965942252723173,True
2024-06-02,residual_strength_63_126b,106,2624,99,-0.0420059468998677,-0.057488706974203684,True
2024-06-02,residual_strength_126_126b,106,2624,93,-0.07996559912001322,-0.10943971592368888,True
2024-07-01,rel_mom_21,107,2649,106,0.021310048965127178,0.0285655913723432,True
2024-07-01,rel_mom_63,107,2649,104,-0.05021310121026696,-0.06730941505849503,True
2024-07-01,rel_mom_126,107,2649,100,-0.11058642291193257,-0.14823835334216673,True
2024-07-01,ratio_vs_sma50,107,2649,105,0.0007628838382650113,0.0010226268378878414,True
2024-07-01,ratio_vs_sma200,107,2649,93,-0.10262898118332348,-0.1375716003393623,True
2024-07-01,sma50_vs_sma200,107,2649,93,-0.10842000413918901,-0.145334322783399,True
2024-07-01,vol_adj_rel_mom_63,107,2649,104,-0.05244436093972122,-0.07030036330931595,True
2024-07-01,volume_ratio_20_63,107,2649,104,0.05110876208983416,0.06851002622254157,True
2024-07-01,mom63_volume_score,107,2649,104,-0.04258456902008994,-0.05708355712302207,True
2024-07-01,down_day_excess_63,107,2649,106,-0.0603529058101947,-0.0809015712882127,True
2024-07-01,residual_strength_21_126b,107,2649,103,0.01715888920226121,0.023001064810184987,True
2024-07-01,residual_strength_63_126b,107,2649,100,-0.04454742589240748,-0.05971471801001837,True
2024-07-01,residual_strength_126_126b,107,2649,94,-0.08388576868747626,-0.11244678950305022,True
2024-08-01,rel_mom_21,108,2674,107,0.020320091641944822,0.028059292698630434,True
2024-08-01,rel_mom_63,108,2674,105,-0.04832096178482119,-0.06672469957767699,True
2024-08-01,rel_mom_126,108,2674,101,-0.10853187340861566,-0.14986780851011877,True
2024-08-01,ratio_vs_sma50,108,2674,106,-0.0006884350948971405,-0.0009506355666159519,True
2024-08-01,ratio_vs_sma200,108,2674,94,-0.09994962213636505,-0.13801688260365347,True
2024-08-01,sma50_vs_sma200,108,2674,94,-0.10499982406242186,-0.1449905270402714,True
2024-08-01,vol_adj_rel_mom_63,108,2674,105,-0.05063353552417808,-0.06991805050262247,True
2024-08-01,volume_ratio_20_63,108,2674,105,0.05026303761571852,0.0694064431023764,True
