date,relative_ic_equity,etf_dca_equity,etf_buy_hold_norm
2023-02-20,762579.0796520305,813437.2620752701,1.2320261437908497
2023-02-21,769606.3996520304,789703.11207527,1.196078431372549
2023-02-22,752886.5796520304,800059.83207527,1.2117647058823529
2023-02-23,762870.9196520305,787976.99207527,1.1934640522875817
2023-02-26,787428.6596520304,798333.71207527,1.2091503267973855
2023-02-27,788661.6896520304,807827.3720752699,1.2235294117647058
2023-02-28,785226.3696520304,802649.0120752701,1.215686274509804
2023-03-01,793458.0473284303,807589.0296983101,1.2084967320261437
2023-03-02,791911.8773284304,813267.0396983101,1.2169934640522877
2023-03-05,787643.4873284304,800163.9396983101,1.1973856209150326
2023-03-06,781399.2773284303,799290.3996983101,1.196078431372549
2023-03-07,765046.7673284302,798416.8596983101,1.1947712418300653
2023-03-08,751575.8573284304,780509.2896983101,1.1679738562091504
2023-03-09,769474.6573284306,775268.0496983101,1.1601307189542482
2023-03-12,744405.4273284303,782256.36969831,1.1705882352941177
2023-03-13,716534.1573284304,756923.70969831,1.1326797385620913
2023-03-14,718697.7573284303,733338.12969831,1.0973856209150326
2023-03-15,670853.6373284304,729843.9696983101,1.092156862745098
2023-03-16,675296.4973284304,700580.37969831,1.0483660130718953
2023-03-19,674496.9473284304,698833.2996983101,1.0457516339869282
2023-03-20,695472.4773284304,697522.9896983101,1.0437908496732027
2023-03-21,713230.2873284303,708879.00969831,1.0607843137254902
2023-03-22,707801.7573284303,728096.8896983102,1.0895424836601308
2023-03-23,730049.0173284304,724602.7296983101,1.084313725490196
2023-03-26,748903.9273284303,742073.5296983101,1.110457516339869
2023-03-27,739195.3973284304,759107.5596983101,1.1359477124183006
2023-03-28,746514.1173284304,757360.4796983101,1.1333333333333333
2023-03-29,769567.4973284303,755176.62969831,1.1300653594771242
2023-03-30,764052.7673284304,779198.9796983101,1.1660130718954247
2023-04-02,788200.8798176006,788982.2494301901,1.1660130718954247
2023-04-03,816681.2398176006,801807.4994301901,1.1849673202614377
2023-04-04,823887.6198176006,819497.4994301901,1.211111111111111
2023-04-05,825754.1298176005,819055.2494301901,1.2104575163398692
2023-04-06,814916.9398176005,819939.7494301901,1.2117647058823529
2023-04-09,806270.4898176005,804903.2494301901,1.1895424836601307
2023-04-10,814749.2398176003,803134.2494301901,1.1869281045751634
2023-04-11,823410.6998176005,807998.9994301901,1.1941176470588235
2023-04-12,805198.7498176005,819497.4994301901,1.211111111111111
2023-04-13,809754.1998176003,811979.2494301901,1.2
2023-04-18,816395.5898176003,856204.2494301901,1.265359477124183
2023-04-19,827251.8198176004,850897.24943019,1.2575163398692808
2023-04-26,829981.6398176005,849570.4994301901,1.2555555555555555
2023-04-27,856641.6598176004,846474.7494301901,1.2509803921568627
2023-04-30,860438.0598176004,862837.9994301902,1.2751633986928106
2023-05-01,850830.6674557005,866409.8740560302,1.2660130718954248
2023-05-02,853064.8474557004,849412.85405603,1.241176470588235
2023-05-03,854110.1674557005,848965.5640560301,1.2405228758169935
2023-05-07,851885.0274557004,848518.2740560301,1.2398692810457514
2023-05-08,868037.5274557003,845387.2440560301,1.2352941176470587
2023-05-09,858753.1174557004,865068.0040560301,1.2640522875816993
2023-05-10,874748.1974557004,849860.1440560301,1.2418300653594772
2023-05-11,861864.2374557004,859700.5240560301,1.2562091503267974
2023-05-14,863759.1574557004,848518.2740560301,1.2398692810457514
2023-05-15,843840.5974557004,853438.46405603,1.2470588235294116
2023-05-16,853987.6874557004,843598.08405603,1.2326797385620913
2023-05-17,838091.1574557004,838677.8940560301,1.2254901960784312
2023-05-18,843746.5074557004,830179.3840560301,1.2130718954248365
2023-05-21,851054.6574557004,825706.4840560302,1.2065359477124182
2023-05-22,841752.0074557005,831073.96405603,1.2143790849673202
2023-05-23,849364.7374557004,826601.0640560301,1.2078431372549019
2023-05-24,855204.6774557005,827495.6440560301,1.2091503267973855
2023-05-25,851371.9974557004,842256.21405603,1.2307189542483659
2023-05-28,864969.1674557003,840019.7640560301,1.227450980392157
2023-05-29,871177.1374557003,844045.3740560302,1.2333333333333334
2023-05-30,877077.5974557004,848965.5640560301,1.2405228758169935
2023-05-31,870790.8374557004,864173.4240560301,1.2627450980392156
2023-06-01,890403.1728244006,870960.8080856301,1.2581699346405228
2023-06-04,909574.0728244005,872770.5680856301,1.2607843137254902
