date,core_satellite_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2024-02-20,1643261.14979738,2051320.4461204403,1817996.3908687704,1573630.06517538,2.1143790849673203
2024-02-21,1638952.7997973803,2045575.4361204403,1819698.0008687703,1566820.04517538,2.1052287581699347
2024-02-22,1641632.1497973804,2059456.40612044,1833551.5208687705,1564874.32517538,2.1026143790849674
2024-02-25,1625928.4897973803,2011043.6661204402,1857563.2108687705,1532769.9451753802,2.0594771241830063
2024-02-26,1663340.5897973804,2087610.8961204402,1925648.4908687703,1557577.8751753801,2.09281045751634
2024-02-27,1661864.8997973804,2096928.8061204401,1950151.4363839806,1545417.12517538,2.076470588235294
2024-02-28,1668062.47979738,2073040.52612044,1946692.8063839804,1555632.1551753802,2.0901960784313727
2024-02-29,1663680.45979738,2092588.3961204402,1962214.4763839806,1542984.97517538,2.0732026143790847
2024-03-03,1692608.11915399,2119941.90692868,2026648.1975813503,1557366.2056835801,2.079084967320261
2024-03-04,1743812.5591539901,2273278.05408356,2110711.6535777706,1595063.86568358,2.1294117647058823
2024-03-05,1724612.3891539902,2231830.24956976,2071024.9103324902,1584293.10568358,2.115032679738562
2024-03-06,1785479.96915399,2139344.0899119005,1999925.4125633906,1699833.9856835802,2.269281045751634
2024-03-07,1763893.76915399,2163212.6354061,2036198.8683036906,1654303.0456835802,2.2084967320261435
2024-03-10,1814011.0691539901,2204577.4809043,2056203.5646692407,1716969.2856835802,2.292156862745098
2024-03-11,1881722.32915399,2161531.0385533604,2003769.8907596804,1834468.4856835802,2.449019607843137
2024-03-12,1817138.61915399,2161269.13855336,1994621.3874753704,1746833.66568358,2.3320261437908494
2024-03-13,1803999.01915399,2099192.46855336,1918821.9774753705,1759562.74568358,2.349019607843137
2024-03-14,1723307.0891539901,2113257.26855336,1923182.2765670104,1643532.2856835802,2.1941176470588233
2024-03-17,1742519.2791539903,2069095.10855336,1884778.1165670103,1686615.3256835802,2.2516339869281046
2024-03-18,1630883.2991539903,1899906.9885533599,1730997.7265670104,1592126.3856835803,2.1254901960784314
2024-03-19,1571958.3291539901,1874614.9885533599,1706897.8765670105,1518689.38568358,2.0274509803921568
2024-03-20,1608982.9191539902,1897135.91855336,1735442.5865670105,1559324.5256835802,2.081699346405229
2024-03-21,1598615.8191539901,1935229.84855336,1743820.9765670104,1541210.0656835802,2.057516339869281
2024-03-24,1592209.6491539902,1925139.78855336,1732517.3465670105,1536803.8456835803,2.0516339869281044
2024-03-25,1620546.24915399,1954710.9085533598,1758475.3865670105,1566178.64568358,2.090849673202614
2024-03-26,1632088.4891539903,1940428.92855336,1758913.7365670106,1582334.7856835802,2.112418300653595
2024-03-27,1614435.1291539902,1890840.4985533596,1736398.1565670103,1566668.2256835802,2.0915032679738563
2024-03-28,1575027.65915399,1854940.36855336,1712791.5565670105,1520647.7056835801,2.030065359477124
2024-03-31,1544102.48915399,1823059.85855336,1691009.7065670104,1485887.5256835802,1.9836601307189543
2024-04-01,1547964.93675994,1918351.9560112702,1768363.7642319505,1459390.17282343,1.9352941176470586
2024-04-02,1599835.08675994,1886138.5236073202,1762371.3768590505,1535292.1528234298,2.0359477124183005
2024-04-03,1585080.49675994,1877500.75409552,1759555.3209997206,1515577.35282343,2.0098039215686274
2024-04-04,1601282.43675994,1933962.8359632702,1809068.3858356604,1518041.70282343,2.0130718954248366
2024-04-07,1629842.03675994,1967203.29230781,1834192.5570281404,1548106.77282343,2.052941176470588
2024-04-08,1626809.34675994,1990935.4800569098,1869122.2866700003,1529377.71282343,2.0281045751633986
2024-04-15,1655508.66675994,2087119.8178060104,1922068.9253864905,1548106.77282343,2.052941176470588
2024-04-16,1684936.9167599399,2050720.7978060103,1886910.3653864905,1604293.9528234298,2.1274509803921564
2024-04-17,1686603.74675994,2080891.01780601,1911693.2953864904,1596408.03282343,2.1169934640522876
2024-04-18,1656687.1267599398,1979725.9678060103,1821114.22538649,1591479.33282343,2.1104575163398693
2024-04-21,1621140.05675994,1998897.3178060101,1828175.5753864904,1538249.37282343,2.0398692810457515
2024-04-22,1616850.99675994,1947828.85780601,1775317.8053864904,1554021.21282343,2.06078431372549
2024-04-23,1562546.88675994,1834002.8378060102,1678722.6353864905,1517055.96282343,2.011764705882353
2024-04-24,1460078.55675994,1784418.3478060102,1627029.9868540806,1393345.59282343,1.8477124183006535
2024-04-28,1447034.4067599403,1676035.47780601,1532265.7868540809,1414046.13282343,1.8751633986928105
2024-04-29,1435253.2567599402,1789056.31780601,1642251.9368540805,1351944.51282343,1.7928104575163397
2024-04-30,1454014.0267599402,1651946.1478060104,1528882.5268540806,1425382.14282343,1.8901960784313725
2024-05-01,1423002.8571079401,1746261.3198127502,1602294.1966819605,1351150.24613174,1.7784313725490195
2024-05-02,1478592.8971079402,1816505.1273917898,1684541.7616679603,1395840.64613174,1.8372549019607842
2024-05-07,1506446.00710794,1814352.43770892,1668243.0340859306,1442020.72613174,1.8980392156862744
2024-05-08,1520031.1571079402,1796525.0815564601,1675123.3261787705,1458407.20613174,1.919607843137255
2024-05-09,1501682.8871079402,1792274.3974548199,1669890.2283716502,1434572.3261317401,1.888235294117647
