date,open,high,low,close,volume
2023-08-31,18818.150390625,18884.83984375,18726.4609375,18873.8203125,131968040.0
2023-09-03,18873.8203125,18955.400390625,18726.009765625,18726.009765625,110026184.0
2023-09-04,18726.009765625,18945.66015625,18726.009765625,18910.990234375,147932832.0
2023-09-05,18910.990234375,19146.6796875,18910.990234375,19044.390625,173820032.0
2023-09-06,19044.390625,19287.490234375,19044.390625,19224.51953125,186243952.0
2023-09-07,19224.51953125,19471.400390625,19224.48046875,19375.6796875,126024384.0
2023-09-10,19375.6796875,19676.23046875,19375.640625,19577.849609375,198245232.0
2023-09-11,19577.849609375,19601.830078125,19238.48046875,19278.720703125,199129824.0
2023-09-12,19278.720703125,19286.1796875,19112.0390625,19144.08984375,128767544.0
2023-09-13,19144.08984375,19408.919921875,19144.08984375,19361.69921875,104044464.0
2023-09-14,19361.69921875,19642.41015625,19361.69921875,19540.330078125,143068160.0
2023-09-17,19540.330078125,19772.58984375,19540.330078125,19668.8203125,238378560.0
2023-09-18,19668.8203125,19762.400390625,19586.73046875,19751.779296875,190176528.0
2023-09-19,19751.779296875,20049.380859375,19712.25,19954.30078125,190781776.0
2023-09-20,19954.30078125,20264.2109375,19715.05078125,19797.23046875,210904752.0
2023-09-21,19797.23046875,20082.099609375,19692.41015625,20080.5703125,160294272.0
2023-09-24,20080.5703125,20325.6796875,20077.359375,20213.69921875,160218576.0
2023-09-25,20213.69921875,20498.509765625,20213.69921875,20320.560546875,215196608.0
2023-09-26,20320.560546875,20531.310546875,20320.560546875,20354.859375,209813968.0
2023-09-27,20354.859375,20429.439453125,20086.400390625,20174.279296875,171055360.0
2023-10-01,20174.279296875,20223.849609375,19979.560546875,20054.720703125,136223024.0
2023-10-02,20054.720703125,20162.05078125,19608.6796875,19901.240234375,208968048.0
2023-10-03,19901.240234375,19927.220703125,19652.16015625,19706.9609375,115001416.0
2023-10-04,19706.9609375,19896.4609375,19661.310546875,19873.310546875,118556408.0
2023-10-08,19873.310546875,19873.310546875,18455.6796875,19357.419921875,202252160.0
2023-10-09,19357.419921875,19464.73046875,19219.310546875,19409.779296875,108627376.0
2023-10-10,19409.779296875,19749.009765625,19276.310546875,19724.3203125,132994024.0
2023-10-11,19724.3203125,19913.8203125,19653.490234375,19653.490234375,133216592.0
2023-10-12,19653.490234375,20002.099609375,19653.490234375,20002.099609375,157882832.0
2023-10-15,20002.099609375,20464.66015625,20002.099609375,20324.9609375,167680800.0
2023-10-16,20324.9609375,21328.740234375,20324.9609375,21032.349609375,274151520.0
2023-10-17,21032.349609375,22142.880859375,21032.349609375,22073.94921875,327023616.0
2023-10-18,22073.94921875,22423.58984375,21972.8203125,22117.400390625,287018400.0
2023-10-19,22117.400390625,22217.6796875,21616.599609375,21616.599609375,244337520.0
2023-10-22,21616.599609375,22202.779296875,21586.3203125,22128.490234375,171615968.0
2023-10-23,22128.490234375,22616.580078125,22128.490234375,22572.490234375,240041008.0
2023-10-24,22572.490234375,22841.220703125,21858.48046875,22377.390625,228863536.0
2023-10-25,22377.390625,23226.609375,22377.390625,23131.9609375,348118688.0
2023-10-26,23131.9609375,23439.400390625,22911.529296875,23262.26953125,388607520.0
2023-10-29,23262.26953125,23413.140625,23086.720703125,23086.720703125,580502720.0
2023-10-30,23086.720703125,23559.19921875,23086.720703125,23435.650390625,396069248.0
2023-10-31,23435.650390625,23573.83984375,22550.650390625,22550.650390625,375008416.0
2023-11-01,22550.650390625,22911.98046875,22201.560546875,22433.380859375,259001936.0
2023-11-02,22433.380859375,22882.689453125,22433.380859375,22639.58984375,221601472.0
2023-11-05,22639.58984375,23247.240234375,22639.58984375,23094.689453125,337094752.0
2023-11-06,23094.689453125,23246.109375,23011.390625,23059.150390625,336335552.0
2023-11-07,23059.150390625,23477.76953125,23059.150390625,23393.41015625,365289536.0
2023-11-08,23393.41015625,24136.439453125,23393.41015625,23986.560546875,247475920.0
2023-11-09,23986.560546875,24543.080078125,23986.560546875,24312.919921875,290747680.0
2023-11-12,24312.919921875,24473.740234375,23857.080078125,23910.66015625,233339392.0
2023-11-13,23910.66015625,24073.76953125,23694.6796875,23954.9609375,182091200.0
2023-11-14,23954.9609375,24216.580078125,23842.849609375,23894.060546875,298908096.0
2023-11-15,23894.060546875,24196.970703125,23894.060546875,24138.80078125,274901088.0
2023-11-16,24138.80078125,24451.7109375,24138.80078125,24383.26953125,294702592.0
2023-11-19,24383.26953125,24958.7890625,24383.26953125,24899.58984375,270686624.0
2023-11-20,24899.58984375,25337.900390625,24726.0,24760.01953125,242588944.0
2023-11-21,24760.01953125,24774.0390625,24517.900390625,24774.0390625,216012064.0
2023-11-22,24774.0390625,25098.400390625,24774.0390625,25029.5703125,227890800.0
2023-11-23,25029.5703125,25563.41015625,25029.5703125,25519.490234375,329532768.0
2023-11-26,25519.490234375,25743.23046875,25241.51953125,25300.3203125,302665024.0
2023-11-27,25300.3203125,25945.580078125,25300.3203125,25905.5390625,376139968.0
2023-11-28,25905.5390625,25930.119140625,25121.73046875,25121.73046875,273847136.0
2023-11-29,25121.73046875,25204.83984375,24553.419921875,24759.16015625,299239808.0
2023-11-30,24759.16015625,25017.009765625,24416.900390625,24735.390625,281864672.0
2023-12-03,24735.390625,24809.9296875,24491.69921875,24571.98046875,227291936.0
2023-12-04,24571.98046875,25323.48046875,24571.98046875,25265.41015625,357888384.0
2023-12-05,25265.41015625,25446.140625,24977.73046875,25127.91015625,399974112.0
2023-12-06,25127.91015625,25311.400390625,24702.380859375,24703.55078125,280236032.0
2023-12-07,24703.55078125,24712.69921875,24055.3203125,24686.16015625,234729856.0
2023-12-10,24686.16015625,24773.060546875,24189.830078125,24189.830078125,231636352.0
2023-12-11,24189.830078125,24260.98046875,23941.25,24182.060546875,249974768.0
2023-12-12,24182.060546875,24414.73046875,23968.869140625,24071.66015625,203892928.0
2023-12-13,24071.66015625,24828.130859375,24071.66015625,24773.919921875,210272464.0
2023-12-14,24773.919921875,25056.4296875,24722.8203125,24722.8203125,239113168.0
2023-12-17,24722.8203125,24979.599609375,24722.8203125,24792.140625,152263568.0
2023-12-18,24792.140625,25422.080078125,24792.140625,25334.08984375,204875184.0
2023-12-19,25334.08984375,25532.19921875,25076.419921875,25076.419921875,194988848.0
2023-12-20,25076.419921875,25263.7890625,24831.109375,24837.560546875,122178536.0
2023-12-21,24837.560546875,25077.58984375,24261.880859375,24305.08984375,172274128.0
2023-12-24,24305.08984375,24579.599609375,23822.169921875,23822.169921875,153017760.0
2023-12-25,23822.169921875,24262.0703125,23728.23046875,24226.6796875,163862848.0
2023-12-26,24226.6796875,24408.080078125,23857.5,23994.5390625,229162448.0
2023-12-27,23994.5390625,24481.080078125,23994.5390625,24351.119140625,178664752.0
2023-12-28,24351.119140625,25780.69921875,24351.119140625,24691.4296875,199102336.0
2023-12-31,24691.4296875,25144.4296875,24691.4296875,24894.259765625,146376928.0
2024-01-02,24894.259765625,25501.939453125,24894.259765625,25501.939453125,184285344.0
2024-01-03,25501.939453125,25653.23046875,25381.9296875,25408.509765625,309398752.0
2024-01-04,25408.509765625,25478.9609375,25323.849609375,25350.279296875,189077648.0
2024-01-08,25350.279296875,25495.5,25278.23046875,25344.630859375,149770704.0
2024-01-09,25344.630859375,25622.9609375,25344.630859375,25589.990234375,206907296.0
2024-01-10,25589.990234375,25708.30078125,25466.75,25466.75,163369600.0
2024-01-11,25466.75,25576.130859375,25367.830078125,25519.25,170770128.0
2024-01-14,25519.25,25996.310546875,25519.25,25974.83984375,154232704.0
2024-01-15,25974.83984375,26377.359375,25974.83984375,26250.73046875,201496432.0
2024-01-16,26250.73046875,26938.140625,26250.73046875,26938.140625,290361440.0
2024-01-17,26938.140625,27166.98046875,26756.69921875,26758.259765625,266311680.0
2024-01-18,26758.259765625,26931.609375,26670.259765625,26842.669921875,194420288.0
2024-01-21,26842.669921875,27741.560546875,26842.669921875,27719.369140625,249238896.0
2024-01-22,27719.369140625,28120.900390625,27719.369140625,28050.330078125,489311520.0
2024-01-23,28050.330078125,28102.330078125,27536.51953125,27587.0,434080352.0
2024-01-24,27587.0,27702.4609375,27467.359375,27666.1796875,345100256.0
2024-01-28,27666.1796875,28847.919921875,27666.1796875,28625.759765625,303441632.0
2024-01-29,28625.759765625,29430.919921875,28625.759765625,29227.7890625,281636160.0
2024-01-30,29227.7890625,30347.30078125,29193.919921875,30347.30078125,324387744.0
2024-01-31,30347.30078125,30695.599609375,28224.41015625,28281.91015625,415493440.0
2024-02-01,28281.91015625,28486.91015625,26465.0703125,28434.369140625,241286528.0
2024-02-04,28434.369140625,28477.740234375,27162.859375,27573.5,224415664.0
2024-02-05,27573.5,27902.359375,27501.599609375,27665.75,338557280.0
2024-02-06,27665.75,27881.3203125,27034.490234375,27270.630859375,367850368.0
2024-02-07,27270.630859375,28281.099609375,27270.630859375,27905.94921875,278977888.0
2024-02-08,27905.94921875,28411.41015625,27864.330078125,28411.41015625,243425376.0
2024-02-11,28411.41015625,28621.859375,27972.279296875,28199.0390625,267022672.0
2024-02-12,28199.0390625,28690.509765625,27682.75,28494.720703125,208061696.0
2024-02-13,28494.720703125,28836.390625,28306.560546875,28604.5390625,353479744.0
2024-02-14,28604.5390625,28973.33984375,28604.5390625,28874.990234375,503060000.0
2024-02-15,28874.990234375,29073.30078125,28810.560546875,28926.150390625,481267840.0
2024-02-18,28926.150390625,29178.08984375,28926.150390625,29125.5703125,388160064.0
2024-02-19,29125.5703125,29498.390625,29104.6796875,29452.400390625,354353280.0
2024-02-20,29452.400390625,29660.609375,29323.75,29330.66015625,500744384.0
2024-02-21,29330.66015625,29497.599609375,29150.8203125,29292.05078125,302287904.0
2024-02-22,29292.05078125,29475.80078125,29211.75,29309.73046875,227955808.0
2024-02-25,29309.73046875,29309.73046875,27106.259765625,27840.859375,500654272.0
2024-02-26,27840.859375,29341.16015625,27806.44921875,28931.919921875,432941888.0
2024-02-27,28931.919921875,30035.830078125,28931.919921875,29205.16015625,475075168.0
2024-02-28,29205.16015625,29792.91015625,28876.4609375,28876.4609375,288020928.0
2024-02-29,28876.4609375,29195.669921875,28358.830078125,28964.41015625,233527056.0
2024-03-03,28964.41015625,29398.5703125,28564.7890625,29058.330078125,198118384.0
2024-03-04,29058.330078125,30643.94921875,29058.330078125,30542.330078125,364839328.0
2024-03-05,30542.330078125,31162.75,30142.0703125,30668.890625,371966560.0
2024-03-06,30668.890625,32217.7890625,29743.109375,29743.109375,433389216.0
2024-03-07,29743.109375,31300.5390625,29743.109375,31300.5390625,287310912.0
2024-03-10,31300.5390625,33062.98046875,31300.5390625,32919.94921875,396577664.0
2024-03-11,32919.94921875,34499.421875,32919.94921875,33382.51171875,357309920.0
2024-03-12,33382.51171875,33382.51171875,31979.55078125,32661.609375,249441264.0
2024-03-13,32661.609375,32746.609375,30485.2109375,31013.880859375,324644928.0
2024-03-14,31013.880859375,31594.310546875,29959.189453125,31316.4296875,215080064.0
2024-03-17,31316.4296875,31781.240234375,31061.880859375,31061.880859375,260287312.0
2024-03-18,31061.880859375,31065.5,29091.2890625,29091.2890625,250348720.0
2024-03-19,29091.2890625,29091.2890625,28167.51953125,28675.69921875,206618176.0
2024-03-20,28675.69921875,29229.669921875,28542.990234375,28589.369140625,177694752.0
2024-03-21,28589.369140625,29096.9296875,28280.759765625,29054.9609375,258510272.0
2024-03-24,29054.9609375,29381.380859375,28764.759765625,29060.01953125,224613568.0
2024-03-25,29060.01953125,29344.4609375,28935.939453125,29344.4609375,196525904.0
2024-03-26,29344.4609375,29538.4296875,28997.130859375,29057.5,211156272.0
2024-03-27,29057.5,29114.080078125,28054.1796875,28224.369140625,160630240.0
